"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Application Login","3","0","TC1 - Valid login to Swag Labs","0"
"1","","0","Add to Cart and Purchase in Swag Labs","0","0","TC2 - User completes purchase after adding Sauce Labs Bolt T-Shirt to cart","0"
"0","","0","Application Login","3","0","TC2-TC4 - Login with invalid or blank credentials","0"
"1","","0","Application Login","1","0","TC4 - Successful logout after login","0"
"1","","0","","0","0","","0"
"1","","0","Application Login","0","0","TC3 - Login with blank credentials","0"
"1","","0","Application Login","0","0","TC2 - Invalid login with locked out user","0"
"0","","0","Application Login","2","0","TC3 - Blank username and password","0"
"0","","0","Application Login","2","0","TC2 - Invalid login to Swag Labs","0"
"1","","0","Add to Cart and Purchase in Swag Labs","0","0","TC1 - Valid user adds Sauce Labs Bolt T-Shirt to the cart","0"
"1","","0","Application Login with Users","0","0","TC4 - Successful logout after login","0"
